id,score
0,1.0
1,0.03
2,0.33
3,0.01
4,0.54
5,0.05
6,0.18430976430976428
7,0.31
8,0.02
9,0.14076923076923076
10,0.06
11,0.99
12,0.99
13,0.05
14,0.1
15,1.0
16,0.14
17,0.95
18,0.99
19,0.19
20,0.09
21,0.0
22,0.01
23,0.39
24,0.09
25,0.02
26,0.36
27,0.25
28,0.98
29,0.03
30,0.07
31,0.25
32,0.98
33,0.15
34,1.0
35,0.18
36,0.07
37,0.78
38,0.08
39,0.01
40,1.0
41,1.0
42,0.02
43,0.4
44,0.045
45,0.1
46,1.0
47,0.66
48,0.88
49,0.16
50,0.05
51,1.0
52,0.01
53,0.24
54,0.08
55,0.07
56,0.14
57,0.01
58,0.02
59,0.03
60,0.775
61,0.2
62,0.3
63,0.26
64,0.02
65,0.27
66,0.05
67,0.29
68,0.01
69,0.27
70,0.424
71,0.0
72,0.26
73,0.09
74,0.18
75,0.22
76,0.37
77,0.16
78,0.07
79,0.12
80,0.06
81,0.23186741363211952
82,0.04
83,0.11
84,0.11
85,1.0
86,0.09
87,0.26
88,0.9621428571428572
89,0.995
90,0.17
91,0.15
92,0.1
93,0.34
94,0.16
95,0.09
96,0.025
97,0.25
98,0.2363177136770106
99,0.09
100,0.01
101,0.2
102,1.0
103,0.1
104,1.0
105,0.59
106,0.46
107,0.19
108,0.25
109,0.94
110,0.32
111,0.9507407407407408
112,0.11
113,0.1
114,0.18
115,0.29
116,0.09
117,0.55
118,0.66
119,0.2
120,0.09
121,0.06
122,0.79
123,0.05
124,0.1
125,1.0
126,0.09
127,0.32
128,0.02
129,1.0
130,0.04
131,0.030454545454545453
132,0.2
133,0.99
134,0.13
135,0.18
136,0.25
137,0.21
138,0.04
139,0.62
140,0.09
141,0.26
142,0.05
143,0.03
144,0.03
145,0.01
146,0.06
147,0.97
148,0.06
149,0.02846153846153846
150,0.1
151,1.0
152,0.10333333333333332
153,0.09
154,0.5018794538794539
155,0.13
156,0.03416666666666667
157,1.0
158,0.06
159,0.42
160,0.9374074074074074
161,0.21
162,0.09
163,0.05
164,0.04
165,0.23
166,0.02
167,0.75
168,0.13
169,0.01
170,0.06
171,0.0
172,0.29
173,0.3305833333333333
174,0.35
175,0.06
176,0.06
177,0.3
178,0.37
179,0.38
180,0.1
181,0.99
182,0.32
183,0.03
184,0.32
185,0.12
186,0.13
187,0.2
188,0.34
189,0.09
190,0.22
191,1.0
192,0.26
193,0.15
194,1.0
195,0.38
196,0.19
197,0.0
198,0.3273809523809524
199,0.3
200,0.01
201,0.23
202,0.05
203,0.11
204,0.3
205,0.22
206,0.52
207,1.0
208,0.16139386838651543
209,0.04
210,0.6
211,0.03
212,0.054000000000000006
213,0.29
214,0.13
215,0.98
216,0.08
217,0.07
218,0.03
219,0.03
220,0.01
221,0.94
222,0.16
223,0.02
224,0.05
225,0.04
226,0.56
227,0.09202380952380952
228,0.115
229,1.0
230,0.01
231,0.02
232,0.29
233,0.45
234,0.18
235,1.0
236,0.77
237,0.11
238,0.05
239,0.01
240,0.17
241,0.0
242,0.12
243,0.09
244,1.0
245,0.35
246,0.04
247,0.01
248,0.11029040404040405
249,0.44
250,0.15
251,0.04
252,0.98
253,1.0
254,0.04
255,0.02
256,0.95
257,0.3933333333333333
258,0.19
259,0.46
260,0.08
261,0.03
262,0.22
263,0.16833333333333333
264,0.15
265,0.0
266,0.08
267,0.22
268,0.05
269,0.11
270,0.15614086498297025
271,0.11
272,0.03
273,0.72
274,1.0
275,0.4
276,0.13333333333333333
277,0.49
278,0.85
279,0.88
280,0.0
281,0.08
282,0.36
283,0.28
284,0.14833333333333334
285,0.02
286,0.81
287,0.31
288,0.19
289,0.01
290,0.21
291,0.03
292,0.62
293,0.48
294,0.03
295,0.47
296,0.74
297,1.0
298,0.01
299,0.05
300,0.05
301,0.02
302,0.02
303,0.0
304,0.2
305,0.28
306,0.28
307,0.91
308,0.0
309,0.05
310,0.99
311,1.0
312,1.0
313,0.06
314,0.23
315,0.14
316,0.3
317,0.6
318,0.21
319,0.11
320,0.02
321,0.28
322,0.06
323,0.12
324,1.0
325,0.516008878065318
326,0.89
327,0.05545454545454545
328,0.05
329,0.05
330,0.02
331,0.02
332,0.12
333,0.22
334,0.14
335,0.03
336,0.09
